200822127 0000CFFC: E808  LSR.B #4, D0                   D=00000090 FFFF0220 00000016 00000001 A223E2C5 DB6D0003 6DB6069E B6DB6D00 A=0000CFE0 50F02000 0004640E 00006AB4 007BA6B0 007E05D8 007D9ED4 007D9D5A
200822128 0000CFFE: 6116  BSR D016                       D=00000009 FFFF0220 00000016 00000001 A223E2C5 DB6D0003 6DB6069E B6DB6D00 A=0000CFE0 50F02000 0004640E 00006AB4 007BA6B0 007E05D8 007D9ED4 007D9D5A
200822129 0000D016: 43F0  LEA ???, A1                    D=00000009 FFFF0220 00000016 00000001 A223E2C5 DB6D0003 6DB6069E B6DB6D00 A=0000CFE0 50F02000 0004640E 00006AB4 007BA6B0 007E05D8 007D9ED4 007D9D56
200822130 0000D01E: 2011  MOVE.L (A1), D0                D=00000009 FFFF0220 00000016 00000001 A223E2C5 DB6D0003 6DB6069E B6DB6D00 A=0000CFE0 00005E58 0004640E 00006AB4 007BA6B0 007E05D8 007D9ED4 007D9D56
200822131 0000D020: 6718  BEQ D03A                       D=00003234 FFFF0220 00000016 00000001 A223E2C5 DB6D0003 6DB6069E B6DB6D00 A=0000CFE0 00005E58 0004640E 00006AB4 007BA6B0 007E05D8 007D9ED4 007D9D56
200822132 0000D022: 2240  MOVEA.L D0, A1                 D=00003234 FFFF0220 00000016 00000001 A223E2C5 DB6D0003 6DB6069E B6DB6D00 A=0000CFE0 00005E58 0004640E 00006AB4 007BA6B0 007E05D8 007D9ED4 007D9D56
200822133 0000D024: 2F09  MOVE.L A1, -(A7)               D=00003234 FFFF0220 00000016 00000001 A223E2C5 DB6D0003 6DB6069E B6DB6D00 A=0000CFE0 00003234 0004640E 00006AB4 007BA6B0 007E05D8 007D9ED4 007D9D56
200822134 0000D026: 2069  MOVEA.L 8(A1), A0              D=00003234 FFFF0220 00000016 00000001 A223E2C5 DB6D0003 6DB6069E B6DB6D00 A=0000CFE0 00003234 0004640E 00006AB4 007BA6B0 007E05D8 007D9ED4 007D9D52
200822135 0000D02A: 2269  MOVEA.L C(A1), A1              D=00003234 FFFF0220 00000016 00000001 A223E2C5 DB6D0003 6DB6069E B6DB6D00 A=0000339C 00003234 0004640E 00006AB4 007BA6B0 007E05D8 007D9ED4 007D9D52
200822136 0000D02E: 4E90  JSR (A0)                       D=00003234 FFFF0220 00000016 00000001 A223E2C5 DB6D0003 6DB6069E B6DB6D00 A=0000339C 000031EC 0004640E 00006AB4 007BA6B0 007E05D8 007D9ED4 007D9D52
